rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subj_code,success,question_order,task,correct_response,congruency,name,correct,slider_start,feedback_type,feedback,prev_feedback,prev_loss,prev_correct,prev_congruency,block_feedback_type,all_accuracy
720,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2624,2.1.0,1533056,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
589,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2629,2.1.0,1535048,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
545,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2634,2.1.0,1537017,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
750,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2639,2.1.0,1539055,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
519,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2644,2.1.0,1540862,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
762,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2649,2.1.0,1542954,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
514,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2654,2.1.0,1544775,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
647,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2659,2.1.0,1546840,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
499,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2664,2.1.0,1548632,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
600,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2669,2.1.0,1550529,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
469,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2674,2.1.0,1552426,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
453,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2679,2.1.0,1554237,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
506,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2684,2.1.0,1556128,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
567,<span style='font-size: 35px;'>bal</span>,g,html-keyboard-response,2689,2.1.0,1558124,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,0,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
597,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2694,2.1.0,1560026,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,neutral,0,0,incongruent,no_punishment_congruent,0.9408333333333333
610,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2699,2.1.0,1562036,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
557,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2704,2.1.0,1563939,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
594,<span style='font-size: 35px;'>bal</span>,g,html-keyboard-response,2709,2.1.0,1565889,HdDcxr,,,probe,f,congruent,horizontal_con_1,0,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
908,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2714,2.1.0,1568115,HdDcxr,,,probe,j,incongruent,vertical_incon_2,1,,,NA,visual_punishment,0,0,congruent,no_punishment_congruent,0.9408333333333333
634,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2719,2.1.0,1570052,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
456,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2724,2.1.0,1571869,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
731,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2729,2.1.0,1574071,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
556,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2734,2.1.0,1575944,HdDcxr,,,probe,j,incongruent,vertical_incon_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
638,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2739,2.1.0,1578003,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
569,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2744,2.1.0,1580028,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
687,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2749,2.1.0,1582170,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
573,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2754,2.1.0,1584037,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
765,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2759,2.1.0,1586237,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
507,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2764,2.1.0,1588042,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
